hydroID,hydroCode,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std,gw_level_mean_Neil,gw_level_std_Neil,diff
30184357,704100032,140.883518,-28.125533,-101328.6946,6873722.247,54,89.60828,134.11,66.45,0,66.45,,0
30149234,603700005,135.671571,-30.12993,-594720.7935,6612040.776,53,175.1476863,80.16,65.84,0,65.84,,0
30180728,704100031,140.883518,-28.125533,-101328.6946,6873722.247,54,89.60828,124.05,65.53,0,65.53,,0
30103359,593800028,135.371852,-29.985602,-625544.3459,6625225.852,53,188.22776,70.5,65.53,0,65.53,,0
30118263,584200018,134.552544,-27.916814,-730254.2826,6848798.61,53,200.6241362,105,63.4,0,65.02,2.291025971,1.62
30107183,574000032,134.346605,-28.890496,-739116.9728,6737342.524,53,195.5359031,94.25,64.705,0.005,64.705,0.007071068,0
30066874,603700021,135.729221,-30.169608,-588669.6765,6608164.159,53,163.01956,76.96,64.62,0,64.62,,0
30192969,704100140,140.830499,-28.079043,-106815.4441,6878623.943,54,70.47252214,97.54,64,0,64,,0
30181342,593700016,135.300643,-30.040347,-631849.7549,6618380.08,53,193.4860991,66.75,64.68,0,63.605,0.563281204,1.075
30164349,593800206,135.225972,-29.843164,-641421.9564,6639704.976,53,194.5536,75,60,0,63.395,4.801255044,3.395
30179674,603800021,135.992793,-29.953446,-565409.6131,6634873.118,53,137.5693514,124.6,63.28,2.32,63.28,3.280975465,0
30073762,593700017,135.315321,-30.040114,-630422.6213,6618554.319,53,191.97516,71.02,62.79,0,62.79,,0
30097203,593800007,135.183564,-29.854923,-645425.3346,6637957.64,53,184.7041755,70.72,62.5,0,62.5,,0
30144466,603700070,135.798477,-30.119563,-582494.6265,6614434.601,53,151.69512,92.96,62.44,0,62.44,,0
30182346,574100047,134.484416,-28.278413,-732803.2371,6807502.377,53,192.6140599,78,59.78,0,62.00833333,1.726098684,2.228333333
30130795,583900012,134.78631,-29.233999,-691652.9317,6703451.4,53,176.9002331,65.68,61.87,0,61.87,,0
30095798,613800033,136.3028499,-29.682281,-538068.7628,6668075.48,53,76.18624204,73.15,61.57,0,61.57,,0
30115824,593800202,135.372475,-29.988127,-625454.5512,6624949.414,53,187.92476,71,59,0,61.42,3.422396821,2.42
30149297,573700078,134.066914,-30.290661,-748926.1027,6577138.171,53,208.4002311,63.7,61.26,0,61.26,,0
30131131,574100016,134.47428,-28.113283,-735756.6347,6825932.776,53,188.9222763,67.06,61.16,0.141421356,61.16,0.173205081,0
30179831,694100014,140.1288369,-28.1102285,-175808.0165,6871432.893,54,34,2772.16,61.07,0,61.07,,0
30084086,704100236,140.973682,-28.41901,-90815.25024,6841556.554,54,86.22056,81,61,0,61,,0
30116607,704100017,140.653984,-28.237216,-123293.3892,6860143.71,54,59.12565407,84,61,0,61,,0
30183027,583900010,134.795618,-29.206332,-691065.1683,6706650.082,53,181.2788743,63.4,60.96,0,60.96,,0
30177042,574000025,134.098288,-28.758092,-765293.5638,6749522.725,53,217.6273305,76.2,60.96,0,60.96,,0
30184738,704100141,140.830092,-28.079368,-106853.7242,6878585.783,54,70.31969091,97.54,60.96,0,60.96,,0
30183656,574100017,134.478609,-28.203686,-734261.9388,6815829.728,53,186.1876601,67.06,60.96,0,60.96,,0
30063699,704100028,140.9331415,-28.3880077,-94972.1332,6844800.87,54,82.51741012,93.27,60.96,0,60.96,,0
30075771,603700063,135.526295,-30.110623,-609072.0928,6612770.929,53,172.88064,104.24,60.96,0,60.96,,0
30130799,584000008,134.752527,-28.981554,-697964.9831,6731407.07,53,181.8487678,203.61,60.96,0,60.96,,0
30131769,683700069,139.600354,-30.178873,-213381.9505,6638153.356,54,78.846203,146.56,60.96,0,60.96,,0
30102707,584500001,134.8510859,-26.133954,-720071.5963,7051933.264,53,221.3780433,263.65,60.76,0,60.76,,0
30081891,703900008,140.711145,-29.237504,-111775.3715,6749257.999,54,78.16453171,78.94,60.735,0.835,60.735,1.180868325,0
30063911,583900030,134.883444,-29.358048,-680640.6737,6690552.06,53,172.0808506,64.01,60.35,0,60.35,,0
30091078,564000005,133.92907,-28.930648,-779870.966,6728279.426,53,202.864516,73.46,60.36,0,60.21615385,0.575058525,0.143846154
30064277,683700065,139.529182,-30.17601,-220283.6795,6638020.514,54,118.817588,150.88,60.2,0.76,60.2,1.074802307,0
30067182,603700035,135.92178,-30.175184,-569892.9472,6609398.83,53,136.3541883,153.01,59.74,0,59.74,,0
30186211,564000003,133.917469,-28.880142,-781654.8606,6733824.218,53,202.7323028,74.68,59.44,0,59.44,,0
30121977,703900016,140.711145,-29.237504,-111775.3715,6749257.999,54,78.16453171,79.7,59.3,0,59.3,0,0
